InvoiceDate,TotalSpend,Description,Quantity
2022-12-01 08:26:00,15.3,WHITE HANGING HEART T-LIGHT HOLDER,6
2022-12-01 08:26:00,20.34,WHITE METAL LANTERN,6
2022-12-01 08:26:00,22.0,CREAM CUPID HEARTS COAT HANGER,8
2022-12-01 08:26:00,20.34,KNITTED UNION FLAG HOT WATER BOTTLE,6
2022-12-01 08:26:00,20.34,RED WOOLLY HOTTIE WHITE HEART.,6
2022-12-01 08:26:00,15.3,SET 7 BABUSHKA NESTING BOXES,2
2022-12-01 08:26:00,25.5,GLASS STAR FROSTED T-LIGHT HOLDER,6
2022-12-01 08:28:00,11.1,HAND WARMER UNION JACK,6
2022-12-01 08:28:00,11.1,HAND WARMER RED POLKA DOT,6
2022-12-01 08:34:00,54.08,ASSORTED COLOUR BIRD ORNAMENT,32
2022-12-01 08:34:00,12.6,POPPY'S PLAYHOUSE BEDROOM ,6
2022-12-01 08:34:00,12.6,POPPY'S PLAYHOUSE KITCHEN,6
2022-12-01 08:34:00,30.0,FELTCRAFT PRINCESS CHARLOTTE DOLL,8
2022-12-01 08:34:00,9.9,IVORY KNITTED MUG COSY ,6
2022-12-01 08:34:00,25.5,BOX OF 6 ASSORTED COLOUR TEASPOONS,6
2022-12-01 08:34:00,14.85,BOX OF VINTAGE JIGSAW BLOCKS ,3
2022-12-01 08:34:00,19.9,BOX OF VINTAGE ALPHABET BLOCKS,2
2022-12-01 08:34:00,17.85,HOME BUILDING BLOCK WORD,3
2022-12-01 08:34:00,17.85,LOVE BUILDING BLOCK WORD,3
2022-12-01 08:34:00,31.8,RECIPE BOX WITH METAL HEART,4
2022-12-01 08:34:00,31.8,DOORMAT NEW ENGLAND,4
2022-12-01 08:34:00,25.5,JAM MAKING SET WITH JARS,6
2022-12-01 08:34:00,14.85,RED COAT RACK PARIS FASHION,3
2022-12-01 08:34:00,14.85,YELLOW COAT RACK PARIS FASHION,3
2022-12-01 08:34:00,14.85,BLUE COAT RACK PARIS FASHION,3
2022-12-01 08:35:00,17.85,BATH BUILDING BLOCK WORD,3
2022-12-01 08:45:00,90.0,ALARM CLOCK BAKELIKE PINK,24
2022-12-01 08:45:00,90.0,ALARM CLOCK BAKELIKE RED ,24
2022-12-01 08:45:00,45.0,ALARM CLOCK BAKELIKE GREEN,12
2022-12-01 08:45:00,10.2,PANDA AND BUNNIES STICKER SHEET,12
2022-12-01 08:45:00,15.6,STARS GIFT TAPE ,24
2022-12-01 08:45:00,40.8,INFLATABLE POLITICAL GLOBE ,48
2022-12-01 08:45:00,30.0,VINTAGE HEADS AND TAILS CARD GAME ,24
2022-12-01 08:45:00,53.1,SET/2 RED RETROSPOT TEA TOWELS ,18
2022-12-01 08:45:00,70.80000000000001,ROUND SNACK BOXES SET OF4 WOODLAND ,24
2022-12-01 08:45:00,46.8,SPACEBOY LUNCH BOX ,24
2022-12-01 08:45:00,46.8,LUNCH BOX I LOVE LONDON,24
2022-12-01 08:45:00,46.8,CIRCUS PARADE LUNCH BOX ,24
2022-12-01 08:45:00,17.0,CHARLOTTE BAG DOLLY GIRL DESIGN,20
2022-12-01 08:45:00,39.6,RED TOADSTOOL LED NIGHT LIGHT,24
2022-12-01 08:45:00,70.80000000000001, SET 2 TEA TOWELS I LOVE LONDON ,24
2022-12-01 08:45:00,45.0,VINTAGE SEASIDE JIGSAW PUZZLES,12
2022-12-01 08:45:00,10.08,MINI JIGSAW CIRCUS PARADE ,24
2022-12-01 08:45:00,10.08,MINI JIGSAW SPACEBOY,24
2022-12-01 08:45:00,23.4,MINI PAINT SET VINTAGE ,36
2022-12-01 08:45:00,54.0,POSTAGE,3
2022-12-01 09:00:00,204.0,PAPER CHAIN KIT 50'S CHRISTMAS ,80
2022-12-01 09:01:00,11.1,HAND WARMER RED POLKA DOT,6
2022-12-01 09:01:00,11.1,HAND WARMER UNION JACK,6
2022-12-01 09:02:00,15.3,WHITE HANGING HEART T-LIGHT HOLDER,6
2022-12-01 09:02:00,20.34,WHITE METAL LANTERN,6
2022-12-01 09:02:00,22.0,CREAM CUPID HEARTS COAT HANGER,8
2022-12-01 09:02:00,29.700000000000003,EDWARDIAN PARASOL RED,6
2022-12-01 09:02:00,6.36,RETRO COFFEE MUGS ASSORTED,6
2022-12-01 09:02:00,6.36,SAVE THE PLANET MUG,6
2022-12-01 09:02:00,6.36,VINTAGE BILLBOARD DRINK ME MUG,6
2022-12-01 09:02:00,6.36,VINTAGE BILLBOARD LOVE/HATE MUG,6
2022-12-01 09:02:00,9.9,WOOD 2 DRAWER CABINET WHITE FINISH,2
2022-12-01 09:02:00,27.8,WOOD S/3 CABINET ANT WHITE FINISH,4
2022-12-01 09:02:00,12.6,WOODEN PICTURE FRAME WHITE FINISH,6
2022-12-01 09:02:00,15.3,WOODEN FRAME ANTIQUE WHITE ,6
2022-12-01 09:02:00,20.34,KNITTED UNION FLAG HOT WATER BOTTLE,6
2022-12-01 09:02:00,20.34,RED WOOLLY HOTTIE WHITE HEART.,6
2022-12-01 09:02:00,15.3,SET 7 BABUSHKA NESTING BOXES,2
2022-12-01 09:02:00,25.5,GLASS STAR FROSTED T-LIGHT HOLDER,6
2022-12-01 09:09:00,350.4,VICTORIAN SEWING BOX LARGE,32
2022-12-01 09:32:00,15.3,WHITE HANGING HEART T-LIGHT HOLDER,6
2022-12-01 09:32:00,20.34,WHITE METAL LANTERN,6
2022-12-01 09:32:00,22.0,CREAM CUPID HEARTS COAT HANGER,8
2022-12-01 09:32:00,29.700000000000003,EDWARDIAN PARASOL RED,6
2022-12-01 09:32:00,6.36,RETRO COFFEE MUGS ASSORTED,6
2022-12-01 09:32:00,6.36,SAVE THE PLANET MUG,6
2022-12-01 09:32:00,6.36,VINTAGE BILLBOARD DRINK ME MUG,6
2022-12-01 09:32:00,6.36,VINTAGE BILLBOARD LOVE/HATE MUG,6
2022-12-01 09:32:00,9.9,WOOD 2 DRAWER CABINET WHITE FINISH,2
2022-12-01 09:32:00,27.8,WOOD S/3 CABINET ANT WHITE FINISH,4
2022-12-01 09:32:00,12.6,WOODEN PICTURE FRAME WHITE FINISH,6
2022-12-01 09:32:00,15.3,WOODEN FRAME ANTIQUE WHITE ,6
2022-12-01 09:32:00,20.34,KNITTED UNION FLAG HOT WATER BOTTLE,6
2022-12-01 09:32:00,20.34,RED WOOLLY HOTTIE WHITE HEART.,6
2022-12-01 09:32:00,15.3,SET 7 BABUSHKA NESTING BOXES,2
2022-12-01 09:32:00,25.5,GLASS STAR FROSTED T-LIGHT HOLDER,6
2022-12-01 09:32:00,165.60000000000002,HOT WATER BOTTLE TEA AND SYMPATHY,48
2022-12-01 09:32:00,163.2,RED HANGING HEART T-LIGHT HOLDER,64
2022-12-01 09:34:00,11.1,HAND WARMER RED POLKA DOT,6
2022-12-01 09:34:00,11.1,HAND WARMER UNION JACK,6
2022-12-01 09:37:00,19.5,JUMBO BAG PINK POLKADOT,10
2022-12-01 09:37:00,19.5,JUMBO  BAG BAROQUE BLACK WHITE,10
2022-12-01 09:37:00,29.5,JUMBO BAG CHARLIE AND LOLA TOYS,10
2022-12-01 09:37:00,8.5,STRAWBERRY CHARLOTTE BAG,10
2022-12-01 09:37:00,45.0,RED 3 PIECE RETROSPOT CUTLERY SET,12
2022-12-01 09:37:00,22.5,BLUE 3 PIECE POLKADOT CUTLERY SET,6
2022-12-01 09:37:00,10.2,SET/6 RED SPOTTY PAPER PLATES,12
2022-12-01 09:37:00,16.5,LUNCH BAG RED RETROSPOT,10
2022-12-01 09:37:00,15.3,STRAWBERRY LUNCH BOX WITH CUTLERY,6
2022-12-01 09:37:00,15.3,LUNCH BOX WITH CUTLERY RETROSPOT ,6
2022-12-01 09:37:00,50.4,PACK OF 72 RETROSPOT CAKE CASES,120
2022-12-01 09:37:00,13.2,PACK OF 60 DINOSAUR CAKE CASES,24
2022-12-01 09:37:00,13.2,PACK OF 60 PINK PAISLEY CAKE CASES,24
2022-12-01 09:37:00,13.2,60 TEATIME FAIRY CAKE CASES,24
2022-12-01 09:37:00,17.700000000000003,TOMATO CHARLIE+LOLA COASTER SET,6
2022-12-01 09:37:00,60.0,CHARLIE & LOLA WASTEPAPER BIN FLORA,48
2022-12-01 09:37:00,36.48,RED CHARLIE+LOLA PERSONAL DOORSIGN,96
2022-12-01 09:37:00,19.5,JUMBO STORAGE BAG SUKI,10
2022-12-01 09:37:00,19.5,JUMBO BAG PINK VINTAGE PAISLEY,10
2022-12-01 09:41:00,34.8,JAM MAKING SET PRINTED,24
2022-12-01 09:41:00,97.75,RETROSPOT TEA SET CERAMIC 11 PC ,23
2022-12-01 09:41:00,24.75,GIRLY PINK TOOL SET,5
2022-12-01 09:41:00,19.5,JUMBO SHOPPER VINTAGE RED PAISLEY,10
2022-12-01 09:41:00,4.2,"AIRLINE LOUNGE,METAL SIGN",2
2022-12-01 09:41:00,7.5,WHITE SPOT RED CERAMIC DRAWER KNOB,6
2022-12-01 09:41:00,30.0,RED DRAWER KNOB ACRYLIC EDWARDIAN,24
2022-12-01 09:41:00,30.0,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24
2022-12-01 09:41:00,1.25,PHOTO CLIP LINE,1
2022-12-01 09:41:00,0.85,FELT EGG COSY CHICKEN,1
2022-12-01 09:41:00,2.55,PIGGY BANK RETROSPOT ,1
2022-12-01 09:41:00,16.5,SKULL SHOULDER BAG,10
2022-12-01 09:41:00,5.07,YOU'RE CONFUSING ME METAL SIGN ,3
2022-12-01 09:41:00,1.95,COOK WITH WINE METAL SIGN ,1
2022-12-01 09:41:00,4.2,GIN + TONIC DIET METAL SIGN,2
2022-12-01 09:41:00,2.95,YELLOW BREAKFAST CUP AND SAUCER,1
2022-12-01 09:41:00,2.95,PINK BREAKFAST CUP AND SAUCER ,1
2022-12-01 09:41:00,11.8,PAPER CHAIN KIT 50'S CHRISTMAS ,4
2022-12-01 09:41:00,2.95,PAPER CHAIN KIT RETROSPOT,1
2022-12-01 09:41:00,5.1,SMALL HEART FLOWERS HOOK ,6
2022-12-01 09:41:00,3.75,PHOTO CLIP LINE,3
2022-12-01 09:41:00,5.1,TEA TIME DES TEA COSY,2
2022-12-01 09:41:00,0.85,FELT EGG COSY WHITE RABBIT ,1
2022-12-01 09:41:00,0.85,ZINC WILLIE WINKIE  CANDLE STICK,1
2022-12-01 09:41:00,1.45,CERAMIC CHERRY CAKE MONEY BANK,1
2022-12-01 09:41:00,4.95,RETROSPOT LARGE MILK JUG,1
2022-12-01 09:41:00,5.9,SET OF 6 FUNKY BEAKERS,2
2022-12-01 09:41:00,11.9,EDWARDIAN PARASOL BLACK,2
2022-12-01 09:41:00,11.9,EDWARDIAN PARASOL NATURAL,2
2022-12-01 09:41:00,5.8,CERAMIC STRAWBERRY CAKE MONEY BANK,4
2022-12-01 09:41:00,2.95,BLUE OWL SOFT TOY,1
2022-12-01 09:41:00,1.95,BALLOON ART MAKE YOUR OWN FLOWERS,1
2022-12-01 09:41:00,3.3,RED TOADSTOOL LED NIGHT LIGHT,2
2022-12-01 09:41:00,11.85,GLASS CLOCHE SMALL,3
2022-12-01 09:41:00,38.16,GUMBALL MONOCHROME COAT RACK,36
2022-12-01 09:41:00,67.5,DOORMAT FANCY FONT HOME SWEET HOME,10
2022-12-01 09:45:00,10.2,INFLATABLE POLITICAL GLOBE ,12
2022-12-01 09:45:00,30.0,VINTAGE SNAKES & LADDERS,8
2022-12-01 09:45:00,19.8,CHOCOLATE CALCULATOR,12
2022-12-01 09:45:00,19.5,JUMBO SHOPPER VINTAGE RED PAISLEY,10
2022-12-01 09:45:00,21.0,RECYCLING BAG RETROSPOT ,10
2022-12-01 09:45:00,92.5,TOY TIDY PINK POLKADOT,50
2022-12-01 09:45:00,23.6,ANTIQUE GLASS DRESSING TABLE POT,8
2022-12-01 09:45:00,15.0,ALARM CLOCK BAKELIKE GREEN,4
2022-12-01 09:45:00,71.4,IVORY GIANT GARDEN THERMOMETER,12
2022-12-01 09:45:00,29.9,3 TIER CAKE TIN GREEN AND CREAM,2
2022-12-01 09:45:00,29.9,3 TIER CAKE TIN RED AND CREAM,2
2022-12-01 09:45:00,67.8,SET 3 WICKER OVAL BASKETS W LIDS,4
2022-12-01 09:53:00,19.35,WOOD BLACK BOARD ANT WHITE FINISH,3
2022-12-01 09:53:00,31.200000000000003,COLOUR GLASS T-LIGHT HOLDER HANGING,48
2022-12-01 09:53:00,19.8,HANGING METAL HEART LANTERN,12
2022-12-01 09:53:00,17.700000000000003,HANGING MEDINA LANTERN SMALL,6
2022-12-01 09:53:00,35.400000000000006,NATURAL SLATE HEART CHALKBOARD ,12
2022-12-01 09:53:00,58.0,HEART OF WICKER SMALL,40
